Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PACKAGE.1,TOLERANCE,VALUE.1,VOLTAGE,Column1
C1,100nF,C-USC0402,C0402,"CAPACITOR, American symbol",,GRM155R71C104KA88J,,,402,0.1,,16V,
C2,10uF,C-USC1206,C1206,"CAPACITOR, American symbol",,,,,,,,,
C3,100nF,C-USC0402,C0402,"CAPACITOR, American symbol",,GRM155R71C104KA88J,,,402,0.1,,16V,
C4,10uF,C-USC1206,C1206,"CAPACITOR, American symbol",,,,,,,,,
C5,100nF,C-USC0402,C0402,"CAPACITOR, American symbol",,GRM155R71C104KA88J,,,402,0.1,,16V,
C6,100nF,C-USC0402,C0402,"CAPACITOR, American symbol",,,,,402,0.1,,16V,
C7,100nF,C-USC0402,C0402,"CAPACITOR, American symbol",,GRM155R71C104KA88J,,,402,0.1,,16V,
C8,10nF,C-USC0603,C0603,"CAPACITOR, American symbol",,GRM155R71C103KA01D,,,,,,,
C9,100nF,C-USC0402,C0402,"CAPACITOR, American symbol",,GRM155R71C104KA88J,,,402,0.1,,16V,
C10,TBD,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C11,47pF,C-USC0603,C0603,"CAPACITOR, American symbol",,GRM1555C1H470JA01D,,,,,,,
C12,4.7uF,C-USC1206,C1206,"CAPACITOR, American symbol",,,,,,,,,
C13,1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,GRM155R71C103KA01D,,,,,,,
C14,TBD,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C15,47pF,C-USC0603,C0603,"CAPACITOR, American symbol",,GRM1555C1H470JA01D,,,,,,,
C16,100nF,C-USC0402,C0402,"CAPACITOR, American symbol",,GRM155R71C104KA88J,,,,,,,
C17,100nF,C-USC0402,C0402,"CAPACITOR, American symbol",,GRM155R71C104KA88J,,,,,,,
C18,100nF,C-USC0402,C0402,"CAPACITOR, American symbol",,GRM155R71C104KA88J,,,,,,,
C19,10uF,C-USC1206,C1206,"CAPACITOR, American symbol",,,,,,,,,
C20,100pF,C-USC0603,C0603,"CAPACITOR, American symbol",,GRM1555C1H470JA01D,,,,,,,
C21,100nF,C-USC0402,C0402,"CAPACITOR, American symbol",,GRM155R71C104KA88J,,,,,,,
